,Company Name,job_title,seniority,min_salary,max_salary,Rating,python,sql,r_studio,spark,aws,excel,sector,age,Revenue,Type of ownership,description_len,min_employees,max_employees,avg_size,avg_salary
105,WorldRemit,ai researcher,na,23,36,2.7,0,0,0,0,1,0,finance,11,Unknown / Non-Applicable,Private,2235,1001,5000,3000.0,29.5
106,RB,na,na,23,36,3.6,0,0,0,0,0,1,production,198,$10+ billion (USD),Public,2369,10000,10000,10000.0,29.5
107,Costain,consultant,na,23,36,3.8,0,0,0,0,0,0,public,-1,$1 to $2 billion (USD),Public,5738,1001,5000,3000.0,29.5
108,IQVIA,na,na,23,36,3.8,0,0,0,0,0,1,medical,4,$2 to $5 billion (USD),Public,3305,10000,10000,10000.0,29.5
109,Moneysupermarket Group,manager,na,23,36,4.0,0,0,0,0,0,1,telecommunication,22,$100 to $500 million (USD),Public,6699,501,1000,750.0,29.5
110,Amazon,na,na,23,36,3.9,0,0,0,0,1,1,telecommunication,27,$10+ billion (USD),Public,3195,10000,10000,10000.0,29.5
111,Xactly Corporation,manager,na,23,36,4.2,0,0,0,0,0,1,inforamtion tech,16,$100 to $500 million (USD),Private,8237,501,1000,750.0,29.5
112,The Royal Society of Chemistry,na,na,23,36,4.0,0,0,0,0,0,1,public,180,$50 to $100 million (USD),Organization,2948,501,1000,750.0,29.5
113,Gousto,manager,na,23,36,4.4,0,1,0,0,0,0,retail,9,Unknown / Non-Applicable,Private,5404,201,500,350.0,29.5
114,Canonical,na,na,23,36,3.7,0,0,0,0,0,0,public,17,$50 to $100 million (USD),Private,2624,501,1000,750.0,29.5
115,Kindred Group,ai researcher,na,23,36,3.6,0,0,0,0,0,1,telecommunication,24,Unknown / Non-Applicable,Public,2537,1001,5000,3000.0,29.5
116,ZS Associates,consultant,na,23,36,3.9,0,0,0,0,0,0,public,38,Unknown / Non-Applicable,Private,3955,5001,10000,7500.0,29.5
117,ASOS,analyst,senior,23,36,3.1,1,1,0,0,0,1,retail,21,$1 to $2 billion (USD),Public,2937,1001,5000,3000.0,29.5
118,Park Street People,na,na,23,36,4.4,0,0,0,0,0,1,public,33,Unknown / Non-Applicable,Private,1880,1,50,26.0,29.5
119,The Hut Group,manager,na,23,36,3.3,0,0,0,0,0,0,retail,17,$500 million to $1 billion (USD),Private,4936,5001,10000,7500.0,29.5
120,Bloom and Wild,na,senior,23,36,5.0,0,0,0,0,0,1,public,8,Unknown / Non-Applicable,Private,6095,51,200,126.0,29.5
121,Deliveroo,manager,na,23,36,3.6,0,1,0,0,0,1,telecommunication,8,Unknown / Non-Applicable,Private,5315,1001,5000,3000.0,29.5
122,NES Fircroft,na,na,47,67,3.6,0,0,0,0,0,0,public,43,$500 million to $1 billion (USD),Private,2229,1001,5000,3000.0,57.0
123,University of Oxford,na,na,47,67,4.3,0,0,0,0,0,1,education,-1,$500 million to $1 billion (USD),College / University,2419,501,1000,750.0,57.0
124,G-Research,data scientist,na,47,67,4.7,1,1,0,1,0,0,inforamtion tech,20,Unknown / Non-Applicable,Private,3389,501,1000,750.0,57.0
125,Methods,ai researcher,na,47,67,3.6,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Venture,5338,1,50,26.0,57.0
126,Home Office,ai researcher,na,47,67,3.8,0,0,0,0,0,0,public,239,Unknown / Non-Applicable,Government,12135,10000,10000,10000.0,57.0
127,Moonpig,manager,na,47,67,4.4,1,1,0,0,0,0,telecommunication,21,$100 to $500 million (USD),Private,3004,51,200,126.0,57.0
128,Study Group,na,na,47,67,3.1,0,0,0,0,0,0,education,27,$100 to $500 million (USD),Private,3189,1001,5000,3000.0,57.0
129,Privitar,manager,na,47,67,4.8,0,0,0,0,0,0,inforamtion tech,7,Unknown / Non-Applicable,Private,3479,51,200,126.0,57.0
130,Sky,na,na,47,67,3.9,1,1,0,0,0,1,telecommunication,32,$5 to $10 billion (USD),Public,5501,10000,10000,10000.0,57.0
131,Academics,na,na,47,67,3.3,0,0,0,0,0,1,public,-1,Unknown / Non-Applicable,Venture,1611,51,200,126.0,57.0
132,Summit Oxford,na,na,47,67,3.6,0,0,0,0,0,1,medical,-1,$1 to $5 million (USD),Public,6895,1,50,26.0,57.0
133,Quanta,na,na,47,67,4.4,0,0,0,0,0,1,public,29,$50 to $100 million (USD),Private,2324,51,200,126.0,57.0
134,TDR Training Ltd.,na,na,47,67,-1.0,0,0,0,0,0,0,public,-1,$100 to $500 million (USD),Organization,3439,10000,10000,10000.0,57.0
135,Harnham,analyst,na,47,67,4.0,1,1,0,0,0,0,public,15,$25 to $50 million (USD),Private,2022,51,200,126.0,57.0
136,Capgemini,na,na,47,67,4.3,0,0,0,0,0,1,inforamtion tech,54,$10+ billion (USD),Public,6095,10000,10000,10000.0,57.0
137,Bristol Myers Squibb,manager,na,47,67,4.0,0,0,0,0,0,1,medical,163,$10+ billion (USD),Public,6171,10000,10000,10000.0,57.0
138,Keoghs,na,na,47,67,3.4,0,0,0,0,0,1,public,53,$50 to $100 million (USD),Private,4438,1001,5000,3000.0,57.0
139,Balfour Beatty,na,na,47,67,3.6,0,0,0,0,0,0,public,112,$500 million to $1 billion (USD),Public,3751,10000,10000,10000.0,57.0
140,Car Finance Giant,na,na,47,67,2.0,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Private,1949,10000,10000,10000.0,57.0
141,NELFT NHS Foundation Trust,na,na,47,67,3.4,0,0,0,0,0,0,medical,-1,$100 to $500 million (USD),Hospital,3580,5001,10000,7500.0,57.0
142,Riskonnect,na,na,47,67,3.7,0,0,0,0,0,1,inforamtion tech,14,$100 to $500 million (USD),Private,3112,201,500,350.0,57.0
143,Infosys Limited,na,na,47,67,3.8,0,0,0,0,0,1,public,40,$10+ billion (USD),Public,2865,10000,10000,10000.0,57.0
144,Fresenius Kabi Limited,na,na,47,67,3.5,0,0,0,0,0,1,medical,-1,$5 to $10 billion (USD),Venture,2355,10000,10000,10000.0,57.0
145,Sia Partners,manager,na,47,67,4.0,0,0,0,0,0,1,public,22,$100 to $500 million (USD),Private,5166,1001,5000,3000.0,57.0
146,Royal Free NHS,na,na,47,67,3.7,0,0,0,0,0,0,medical,-1,Less than $1 million (USD),Hospital,4560,1001,5000,3000.0,57.0
147,UL,na,na,47,67,3.5,0,0,0,0,0,1,public,127,$2 to $5 billion (USD),Private,6017,10000,10000,10000.0,57.0
148,IPSEN,na,senior,47,67,3.7,0,0,0,0,0,1,medical,92,$2 to $5 billion (USD),Private,3696,5001,10000,7500.0,57.0
149,Advanced Regulatory,manager,senior,47,67,-1.0,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,3600,1,50,26.0,57.0
150,Advanced Regulatory,manager,senior,47,67,-1.0,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,3666,1,50,26.0,57.0
151,Advanced Regulatory,manager,senior,47,67,-1.0,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,3791,1,50,26.0,57.0
152,Bud,na,na,26,41,3.7,0,0,0,0,0,0,inforamtion tech,6,Unknown / Non-Applicable,Private,6597,51,200,126.0,33.5
153,AXA UK,manager,na,26,41,4.2,1,1,0,0,0,1,finance,25,Unknown / Non-Applicable,Private,8681,5001,10000,7500.0,33.5
154,Thomson Reuters,analyst,na,26,41,4.2,0,1,0,0,0,0,inforamtion tech,13,$5 to $10 billion (USD),Public,6354,10000,10000,10000.0,33.5
155,Pai Skincare,na,na,26,41,4.1,0,0,0,0,0,1,production,14,Unknown / Non-Applicable,Private,3358,1,50,26.0,33.5
156,Parrot Analytics,analyst,senior,26,41,4.0,1,1,0,0,0,1,inforamtion tech,-1,Unknown / Non-Applicable,Private,6819,1,50,26.0,33.5
157,Pfizer,director,senior,26,41,4.2,0,0,0,0,1,1,medical,172,$10+ billion (USD),Public,6414,10000,10000,10000.0,33.5
158,Cisco Systems,na,na,26,41,4.3,0,0,0,0,0,1,inforamtion tech,37,$10+ billion (USD),Private,4633,10000,10000,10000.0,33.5
159,Amazon,manager,na,26,41,3.9,0,0,0,0,0,1,telecommunication,27,$10+ billion (USD),Public,3999,10000,10000,10000.0,33.5
160,The Hut Group,manager,na,26,41,3.3,0,0,0,0,0,1,retail,17,$500 million to $1 billion (USD),Private,4731,5001,10000,7500.0,33.5
161,Marsh and McLennan,na,na,26,41,3.7,0,0,0,0,0,1,finance,150,$10+ billion (USD),Public,5720,10000,10000,10000.0,33.5
162,Intelligent Growth Solutions Limited,na,senior,26,41,5.0,0,1,0,0,0,0,production,8,Unknown / Non-Applicable,Private,3776,51,200,126.0,33.5
163,Harnham,analyst,na,26,41,4.0,1,1,0,0,1,0,public,15,$25 to $50 million (USD),Private,1425,51,200,126.0,33.5
164,Purina,manager,na,26,41,4.2,0,0,0,0,0,0,production,127,Unknown / Non-Applicable,Venture,4645,10000,10000,10000.0,33.5
165,Touch Surgery,na,na,26,41,3.6,0,0,0,0,0,0,inforamtion tech,8,Unknown / Non-Applicable,Private,6153,51,200,126.0,33.5
166,Bangor University,na,na,26,41,3.7,0,0,0,0,0,1,education,-1,$100 to $500 million (USD),College / University,13912,1001,5000,3000.0,33.5
167,Balfour Beatty,na,na,26,41,3.6,0,0,0,0,0,0,public,112,$500 million to $1 billion (USD),Public,5946,10000,10000,10000.0,33.5
168,Smith & Nephew,na,na,26,41,3.8,0,0,0,0,0,0,medical,165,$2 to $5 billion (USD),Private,5445,10000,10000,10000.0,33.5
169,Bangor University,na,na,26,41,3.7,0,0,0,0,0,1,education,-1,$100 to $500 million (USD),College / University,10355,1001,5000,3000.0,33.5
170,Bio-techne,manager,na,26,41,3.5,0,0,0,0,0,0,medical,45,$500 million to $1 billion (USD),Public,6027,1001,5000,3000.0,33.5
171,Institute of Physics,na,na,26,41,3.1,0,0,0,0,0,0,education,147,$5 to $10 million (USD),Organization,2922,51,200,126.0,33.5
